id,question,A,B,C,Answerkey
1,"Hello, my name is Lisa. I just got home. I'm tired. Mom and Dad are at home too. Mom is watching TV. She's happy. Dad is sleeping in his bedroom. Question: Who is happy?",Mom,Dad,Lisa,A
2,"Hello, my name is Lisa. I just got home. I'm tired. Mom and Dad are at home too. Mom is watching TV. She's happy. Dad is sleeping in his bedroom. Question: What's Mom doing?",She's watching TV.,She's sleeping.,She's reading.,A
3,"Hello, my name is Lisa. I just got home. I'm tired. Mom and Dad are at home too. Mom is watching TV. She's happy. Dad is sleeping in his bedroom. Question: Where is Dad?",In his bedroom.,In the living room.,In the kitchen.,A
4,"Hello, my name is Lisa. I just got home. I'm tired. Mom and Dad are at home too. Mom is watching TV. She's happy. Dad is sleeping in his bedroom. Question: How does Lisa feel?",She is tired.,She is happy.,She is thirsty.,A
5,"Hello, my name is Lisa. I just got home. I'm tired. Mom and Dad are at home too. Mom is watching TV. She's happy. Dad is sleeping in his bedroom. Question: Who is sleeping?",Dad,Mom,Lisa,A
6,"Hello, I am Rita. It is time for lunch. I am hungry. I don't want pizza. I want some rice and hot dogs. I want some milk, too. Question: How does Rita feel?",She is hungry.,She is tired.,She is full.,A
7,"Hello, I am Rita. It is time for lunch. I am hungry. I don't want pizza. I want some rice and hot dogs. I want some milk, too. Question: Does Rita want pizza?","No, she doesn't.","Yes, she does.","No, she isn't.",A
8,"Hello, I am Rita. It is time for lunch. I am hungry. I don't want pizza. I want some rice and hot dogs. I want some milk, too. Question: What does Rita want to eat?",Rice and hot dogs.,Pizza and cake.,Sandwiches and apples.,A
9,"Hello, I am Rita. It is time for lunch. I am hungry. I don't want pizza. I want some rice and hot dogs. I want some milk, too. Question: What does Rita want to drink?",She wants some milk.,She wants some juice.,She wants some tea.,A
10,"Hello, I am Rita. It is time for lunch. I am hungry. I don't want pizza. I want some rice and hot dogs. I want some milk, too. Question: Is it time for dinner?","No, it is time for lunch.","Yes, it is.","No, it is time for breakfast.",A
11,"Hi, I am Felicia. I am in the living room. I am reading. My grandma is in the kitchen. She is drinking tea. Question: Where is Felicia?",In the living room.,In the dining room.,In the bathroom.,A
12,"Hi, I am Felicia. I am in the living room. I am reading. My grandma is in the kitchen. She is drinking tea. Question: What is Felicia doing?",She is reading.,She is sleeping.,She is eating.,A
13,"Hi, I am Felicia. I am in the living room. I am reading. My grandma is in the kitchen. She is drinking tea. Question: Where is her grandma?",In the kitchen.,In the yard.,In the bedroom.,A
14,"Hi, I am Felicia. I am in the living room. I am reading. My grandma is in the kitchen. She is drinking tea. Question: What is Grandma doing?",She is drinking tea.,She is writing.,She is swimming.,A
15,"Hi, I am Felicia. I am in the living room. I am reading. My grandma is in the kitchen. She is drinking tea. Question: Is Felicia in the kitchen?","No, she isn't.","Yes, she is.","No, she doesn't.",A
16,Welcome to my party. I am Amy. There are twenty-five apples and thirty oranges on the table. I want some cake. I don't want any ice cream. Question: Where is Amy?,At a party.,At school.,At the park.,A
17,Welcome to my party. I am Amy. There are twenty-five apples and thirty oranges on the table. I want some cake. I don't want any ice cream. Question: How many apples are there?,Twenty-five.,Thirty-five.,Forty.,A
18,Welcome to my party. I am Amy. There are twenty-five apples and thirty oranges on the table. I want some cake. I don't want any ice cream. Question: How many oranges are there?,Thirty.,Fifty.,Twenty.,A
19,Welcome to my party. I am Amy. There are twenty-five apples and thirty oranges on the table. I want some cake. I don't want any ice cream. Question: Does Amy want some cake?,"Yes, she does.","No, she doesn't.",She doesn't know.,A
20,Welcome to my party. I am Amy. There are twenty-five apples and thirty oranges on the table. I want some cake. I don't want any ice cream. Question: Does Amy want some ice cream?,"No, she doesn't.","Yes, she does.",Maybe later.,A
21,It is the Moon Festival today. My name is Anna. My family is in the yard. We are eating moon cakes and pomelos. Look at the Moon! It is very beautiful. Question: What festival is it today?,The Moon Festival.,Happy Easter.,Mother's Day.,A
22,It is the Moon Festival today. My name is Anna. My family is in the yard. We are eating moon cakes and pomelos. Look at the Moon! It is very beautiful. Question: Where is Anna's family?,In the yard.,In the living room.,In the dining room.,A
23,It is the Moon Festival today. My name is Anna. My family is in the yard. We are eating moon cakes and pomelos. Look at the Moon! It is very beautiful. Question: What are they eating?,Moon cakes and pomelos.,Hot dogs and hamburgers.,Pizza and sandwiches.,A
24,It is the Moon Festival today. My name is Anna. My family is in the yard. We are eating moon cakes and pomelos. Look at the Moon! It is very beautiful. Question: What are they looking at?,The Moon.,The Sun.,The weather.,A
25,It is the Moon Festival today. My name is Anna. My family is in the yard. We are eating moon cakes and pomelos. Look at the Moon! It is very beautiful. Question: Who is in the yard?,Anna's family.,Anna's friends.,Anna's teachers.,A
26,"Hi, I am Roy. It is sunny and hot today. I am very thirsty. I want some water. My sister is hungry. She wants some hamburgers. Question: How's the weather today?",It's sunny and hot.,It's rainy and cold.,It's cloudy and cool.,A
27,"Hi, I am Roy. It is sunny and hot today. I am very thirsty. I want some water. My sister is hungry. She wants some hamburgers. Question: How does Roy feel?",He is thirsty.,He is hungry.,He is full.,A
28,"Hi, I am Roy. It is sunny and hot today. I am very thirsty. I want some water. My sister is hungry. She wants some hamburgers. Question: What does Roy want?",He wants some water.,He wants some juice.,He wants some milk.,A
29,"Hi, I am Roy. It is sunny and hot today. I am very thirsty. I want some water. My sister is hungry. She wants some hamburgers. Question: How does Roy's sister feel?",She is hungry.,She is sad.,She is thirsty.,A
30,"Hi, I am Roy. It is sunny and hot today. I am very thirsty. I want some water. My sister is hungry. She wants some hamburgers. Question: What does Roy's sister want?",She wants some hamburgers.,She wants some hot dogs.,She wants some sandwiches.,A
31,"Hello, I am Terry. Look at these fruits. I like apples and watermelons. I don't like bananas. Those are oranges. My mom likes oranges. Question: What fruits does Terry like?",Apples and watermelons.,Bananas and oranges.,Oranges and apples.,A
32,"Hello, I am Terry. Look at these fruits. I like apples and watermelons. I don't like bananas. Those are oranges. My mom likes oranges. Question: What does Terry NOT like?",Bananas.,Apples.,Watermelons.,A
33,"Hello, I am Terry. Look at these fruits. I like apples and watermelons. I don't like bananas. Those are oranges. My mom likes oranges. Question: What are those?",They are oranges.,They are apples.,They are bananas.,A
34,"Hello, I am Terry. Look at these fruits. I like apples and watermelons. I don't like bananas. Those are oranges. My mom likes oranges. Question: Who likes oranges?",Terry's mom.,Terry.,Terry's dad.,A
35,"Hello, I am Terry. Look at these fruits. I like apples and watermelons. I don't like bananas. Those are oranges. My mom likes oranges. Question: Does Terry like bananas?","No, he doesn't.","Yes, he does.",We don't know.,A
36,"Hi, I am Arthur. It's four o'clock. I am in the yard. I am running. My dog is running, too. We are happy. Question: What time is it?",It's four o'clock.,It's five o'clock.,It's three o'clock.,A
37,"Hi, I am Arthur. It's four o'clock. I am in the yard. I am running. My dog is running, too. We are happy. Question: Where is Arthur?",He is in the yard.,He is in the bedroom.,He is in the living room.,A
38,"Hi, I am Arthur. It's four o'clock. I am in the yard. I am running. My dog is running, too. We are happy. Question: What is Arthur doing?",He is running.,He is sleeping.,He is writing.,A
39,"Hi, I am Arthur. It's four o'clock. I am in the yard. I am running. My dog is running, too. We are happy. Question: Who is running with Arthur?",His dog.,His sister.,His mom.,A
40,"Hi, I am Arthur. It's four o'clock. I am in the yard. I am running. My dog is running, too. We are happy. Question: How do they feel?",They are happy.,They are sad.,They are angry.,A
41,"I am David. I am looking for my pen. Where is the pen? It is not on the desk. Oh, it is under the chair. My bag is by the box. Question: What is David looking for?",His pen.,His hat.,His computer.,A
42,"I am David. I am looking for my pen. Where is the pen? It is not on the desk. Oh, it is under the chair. My bag is by the box. Question: Is the pen on the desk?","No, it isn't.","Yes, it is.",We don't know.,A
43,"I am David. I am looking for my pen. Where is the pen? It is not on the desk. Oh, it is under the chair. My bag is by the box. Question: Where is the pen?",It is under the chair.,It is in the box.,It is by the bag.,A
44,"I am David. I am looking for my pen. Where is the pen? It is not on the desk. Oh, it is under the chair. My bag is by the box. Question: Where is his bag?",It is by the box.,It is on the table.,It is under the desk.,A
45,"I am David. I am looking for my pen. Where is the pen? It is not on the desk. Oh, it is under the chair. My bag is by the box. Question: What item is NOT in the story?",A computer.,A desk.,A chair.,A
46,"Hi, I am Eric. It is rainy and cool today. I am in the bedroom. I am sleeping. My brother is writing in the dining room. We don't want to go out. Question: How's the weather today?",It is rainy and cool.,It is sunny and hot.,It is windy and warm.,A
47,"Hi, I am Eric. It is rainy and cool today. I am in the bedroom. I am sleeping. My brother is writing in the dining room. We don't want to go out. Question: Where is Eric?",He is in the bedroom.,He is in the kitchen.,He is in the living room.,A
48,"Hi, I am Eric. It is rainy and cool today. I am in the bedroom. I am sleeping. My brother is writing in the dining room. We don't want to go out. Question: What is Eric doing?",He is sleeping.,He is reading.,He is eating.,A
49,"Hi, I am Eric. It is rainy and cool today. I am in the bedroom. I am sleeping. My brother is writing in the dining room. We don't want to go out. Question: Where is his brother?",In the dining room.,In the yard.,In the bathroom.,A
50,"Hi, I am Eric. It is rainy and cool today. I am in the bedroom. I am sleeping. My brother is writing in the dining room. We don't want to go out. Question: What is his brother doing?",He is writing.,He is running.,He is swimming.,A
